cuentaId;fecha;transaccion;monto;descripcion
103;2024-03-08;deposito;3000.0;Retiro parcial
109;2024-03-18;deposito;3000.0;Ingreso mensual
105;2024-03-24;deposito;1000.0;Ingreso navideño
105;2024-06-21;compra;3000.0;Ingreso extra
111;2024-09-16;compra;2500.0;Ingreso mensual
106;2024-06-21;deposito;2000.0;Ingreso extra
106;2024-07-11;compra;1500.0;Ingreso navideño
108;2024-02-15;compra;3000.0;Ingreso mensual
109;2024-12-04;retiro;1000.0;Compra en tienda
108;2024-07-19;retiro;2000.0;Retiro parcial
104;2024-08-26;retiro;2500.0;Compra en tienda
120;2024-03-09;retiro;3000.0;Compra en tienda
109;2024-05-02;deposito;3000.0;Ingreso mensual
116;2024-12-24;compra;2500.0;Compra en tienda
114;2024-07-08;compra;5000.0;Ingreso mensual
119;2024-08-15;retiro;1500.0;Ingreso extra
103;2024-10-05;compra;1000.0;Retiro parcial
103;2024-12-19;compra;5000.0;Retiro parcial
111;2024-04-26;retiro;2000.0;Ingreso navideño
108;2024-12-22;deposito;1000.0;Ingreso extra
113;2024-01-24;compra;5000.0;Compra en tienda
103;2024-05-09;retiro;3000.0;Ingreso extra
114;2024-09-30;deposito;1000.0;Ingreso mensual
120;2024-01-13;deposito;1000.0;Retiro parcial
113;2024-02-29;retiro;2500.0;Ingreso mensual
117;2024-05-30;deposito;1000.0;Ingreso navideño
112;2024-04-01;retiro;3000.0;Retiro parcial
116;2024-11-22;compra;2500.0;Compra en tienda
108;2024-05-14;deposito;3000.0;Ingreso extra
107;2024-11-30;deposito;3000.0;Compra en tienda
114;2024-04-23;retiro;2000.0;Compra en tienda
113;2024-01-11;deposito;3000.0;Retiro parcial
105;2024-12-01;deposito;2000.0;Ingreso mensual
106;2024-04-06;retiro;2500.0;Compra en tienda
114;2024-09-04;compra;2500.0;Retiro parcial
112;2024-07-23;compra;3000.0;Retiro parcial
120;2024-08-18;deposito;1500.0;Compra en tienda
102;2024-10-16;deposito;2500.0;Retiro parcial
103;2024-05-07;compra;2000.0;Retiro parcial
115;2024-08-15;compra;2000.0;Compra en tienda
116;2024-02-15;deposito;3000.0;Ingreso extra
120;2024-10-27;retiro;3000.0;Ingreso extra
119;2024-07-19;compra;2000.0;Compra en tienda
115;2024-10-13;compra;2000.0;Compra en tienda
118;2024-04-27;retiro;2000.0;Ingreso mensual
105;2024-03-03;retiro;2500.0;Retiro parcial
107;2024-11-09;retiro;1000.0;Compra en tienda
110;2024-03-02;deposito;2000.0;Compra en tienda
101;2024-02-19;compra;2000.0;Retiro parcial
111;2024-03-25;retiro;2500.0;Ingreso extra
114;2024-02-14;retiro;3000.0;Ingreso mensual
107;2024-06-22;retiro;3000.0;Ingreso navideño
106;2024-07-28;deposito;2000.0;Ingreso mensual
107;2024-10-26;retiro;3000.0;Ingreso mensual
114;2024-02-13;compra;2000.0;Ingreso extra
118;2024-08-26;compra;5000.0;Compra en tienda
101;2024-01-07;deposito;2500.0;Retiro parcial
104;2024-11-07;compra;1000.0;Ingreso navideño
115;2024-06-17;compra;1000.0;Ingreso navideño
110;2024-02-17;compra;2500.0;Ingreso extra
114;2024-10-01;compra;2000.0;Ingreso extra
109;2024-05-21;retiro;3000.0;Ingreso extra
101;2024-07-16;retiro;2500.0;Ingreso navideño
118;2024-12-08;retiro;1000.0;Ingreso mensual
107;2024-07-17;retiro;2000.0;Ingreso mensual
118;2024-03-05;compra;2000.0;Ingreso navideño
116;2024-11-23;compra;2000.0;Ingreso navideño
103;2024-03-19;compra;3000.0;Ingreso extra
114;2024-04-16;deposito;2000.0;Compra en tienda
111;2024-03-03;compra;2000.0;Compra en tienda
110;2024-11-27;retiro;2000.0;Retiro parcial
114;2024-05-07;retiro;3000.0;Ingreso navideño
105;2024-09-21;retiro;3000.0;Ingreso navideño
120;2024-09-16;deposito;1500.0;Ingreso mensual
103;2024-01-27;retiro;2000.0;Ingreso mensual
106;2024-04-26;compra;1000.0;Ingreso extra
119;2024-05-21;compra;1000.0;Ingreso extra
110;2024-08-19;retiro;2500.0;Retiro parcial
106;2024-10-02;retiro;1500.0;Compra en tienda
110;2024-02-14;deposito;2500.0;Ingreso navideño
104;2024-11-09;compra;3000.0;Ingreso mensual
114;2024-05-22;compra;2000.0;Ingreso navideño
116;2024-11-14;deposito;2500.0;Ingreso navideño
102;2024-02-08;deposito;3000.0;Compra en tienda
105;2024-05-10;retiro;2500.0;Ingreso navideño
107;2024-11-16;deposito;1500.0;Ingreso extra
102;2024-08-12;deposito;2500.0;Retiro parcial
109;2024-12-05;retiro;2500.0;Ingreso mensual
103;2024-10-29;compra;2500.0;Ingreso navideño
103;2024-07-05;retiro;3000.0;Ingreso mensual
108;2024-07-17;retiro;2500.0;Retiro parcial
116;2024-09-15;compra;3000.0;Retiro parcial
115;2024-04-22;compra;1500.0;Ingreso extra
102;2024-09-24;retiro;1500.0;Compra en tienda
113;2024-04-05;deposito;1000.0;Ingreso navideño
110;2024-09-11;deposito;1000.0;Retiro parcial
119;2024-10-28;retiro;2000.0;Ingreso extra
104;2024-07-19;retiro;1000.0;Compra en tienda
110;2024-02-23;deposito;1000.0;Retiro parcial
114;2024-02-07;retiro;3000.0;Ingreso extra
114;2024-10-01;compra;1500.0;Ingreso mensual
116;2024-06-15;retiro;3000.0;Compra en tienda
117;2024-02-10;compra;2500.0;Ingreso mensual
104;2024-01-11;retiro;1000.0;Compra en tienda
117;2024-03-27;deposito;1500.0;Compra en tienda
119;2024-09-25;deposito;1000.0;Ingreso mensual
112;2024-08-25;compra;2500.0;Ingreso navideño
107;2024-01-24;deposito;3000.0;Compra en tienda
120;2024-09-01;deposito;1500.0;Compra en tienda
110;2024-04-26;compra;3000.0;Ingreso mensual
114;2024-03-03;compra;1500.0;Ingreso mensual
111;2024-07-08;compra;2500.0;Ingreso extra
117;2024-08-07;compra;3000.0;Ingreso navideño
103;2024-05-06;compra;2000.0;Retiro parcial
118;2024-01-30;retiro;2500.0;Ingreso mensual
116;2024-03-23;deposito;2000.0;Compra en tienda
105;2024-08-03;deposito;1500.0;Ingreso navideño
106;2024-06-26;deposito;1000.0;Compra en tienda
119;2024-08-03;compra;5000.0;Compra en tienda
108;2024-01-18;compra;2000.0;Ingreso extra
105;2024-04-15;retiro;3000.0;Ingreso navideño
112;2024-03-23;deposito;1000.0;Ingreso mensual
107;2024-10-24;retiro;2500.0;Ingreso navideño
120;2024-10-30;deposito;1000.0;Ingreso navideño
111;2024-02-15;retiro;2500.0;Compra en tienda
108;2024-12-12;compra;2000.0;Ingreso extra
102;2024-02-09;retiro;1500.0;Ingreso navideño
112;2024-06-12;deposito;3000.0;Ingreso navideño
106;2024-07-20;deposito;2500.0;Retiro parcial
113;2024-07-20;compra;2500.0;Retiro parcial
120;2024-03-24;retiro;2000.0;Compra en tienda
104;2024-01-07;compra;1000.0;Retiro parcial
106;2024-02-02;compra;1500.0;Compra en tienda
107;2024-02-16;compra;2500.0;Ingreso mensual
108;2024-03-13;deposito;2000.0;Retiro parcial
101;2024-03-22;retiro;2000.0;Retiro parcial
105;2024-04-03;retiro;1000.0;Retiro parcial
105;2024-08-14;retiro;1000.0;Ingreso navideño
103;2024-07-23;compra;3000.0;Retiro parcial
103;2024-02-12;compra;3000.0;Compra en tienda
111;2024-02-16;retiro;2000.0;Ingreso mensual
106;2024-04-04;compra;2500.0;Retiro parcial
117;2024-08-29;retiro;1000.0;Ingreso mensual
116;2024-05-13;retiro;1000.0;Ingreso mensual
105;2024-12-13;compra;3000.0;Ingreso mensual
104;2024-10-10;retiro;2500.0;Ingreso navideño
101;2024-06-03;deposito;2000.0;Compra en tienda
118;2024-08-19;compra;1500.0;Ingreso mensual
101;2024-09-25;deposito;2500.0;Ingreso mensual
118;2024-04-18;deposito;3000.0;Retiro parcial
111;2024-03-28;deposito;5000.0;Ingreso navideño
118;2024-10-11;compra;3000.0;Ingreso mensual
109;2024-11-09;retiro;2000.0;Compra en tienda
108;2024-01-26;retiro;3000.0;Ingreso mensual
114;2024-10-29;retiro;2500.0;Ingreso mensual
104;2024-07-30;compra;3000.0;Retiro parcial
115;2024-10-31;compra;1500.0;Ingreso mensual
111;2024-04-09;retiro;2500.0;Ingreso mensual
104;2024-01-31;retiro;1500.0;Compra en tienda
114;2024-10-03;compra;3000.0;Ingreso extra
108;2024-10-23;retiro;2000.0;Compra en tienda
118;2024-01-19;retiro;5000.0;Ingreso extra
112;2024-11-22;compra;2000.0;Ingreso navideño
117;2024-09-05;deposito;2000.0;Ingreso mensual
104;2024-05-26;deposito;2500.0;Ingreso navideño
109;2024-10-21;deposito;2500.0;Ingreso navideño
106;2024-03-23;compra;2000.0;Compra en tienda
110;2024-11-25;compra;2000.0;Ingreso mensual
120;2024-10-03;deposito;2500.0;Compra en tienda
103;2024-07-29;compra;3000.0;Ingreso navideño
107;2024-04-09;deposito;1000.0;Ingreso mensual
116;2024-10-07;compra;3000.0;Retiro parcial
103;2024-09-02;retiro;1500.0;Ingreso navideño
113;2024-09-14;deposito;2000.0;Ingreso mensual
104;2024-04-02;deposito;1500.0;Retiro parcial
105;2024-04-21;retiro;1500.0;Ingreso extra
104;2024-05-23;compra;1500.0;Ingreso extra
119;2024-05-22;deposito;1000.0;Ingreso mensual
116;2024-09-12;deposito;3000.0;Ingreso mensual
116;2024-10-06;retiro;2500.0;Ingreso extra
116;2024-09-22;deposito;2000.0;Ingreso extra
110;2024-12-13;deposito;1000.0;Ingreso extra
113;2024-12-03;retiro;2000.0;Ingreso navideño
110;2024-05-01;retiro;2500.0;Compra en tienda
111;2024-05-10;retiro;1500.0;Compra en tienda
112;2024-11-25;deposito;1500.0;Ingreso navideño
117;2024-04-27;compra;3000.0;Retiro parcial
116;2024-12-06;retiro;2000.0;Ingreso mensual
117;2024-03-07;retiro;3000.0;Ingreso mensual
101;2024-10-06;deposito;1500.0;Ingreso mensual
116;2024-01-03;deposito;2500.0;Ingreso navideño
117;2024-12-08;retiro;3000.0;Ingreso extra
108;2024-11-02;deposito;2500.0;Ingreso extra
102;2024-10-12;retiro;1500.0;Ingreso mensual
111;2024-11-04;retiro;3000.0;Retiro parcial
109;2024-10-18;compra;1000.0;Retiro parcial
105;2024-01-12;deposito;1000.0;Retiro parcial
101;2024-12-22;deposito;2500.0;Ingreso navideño
110;2024-11-23;compra;1500.0;Ingreso mensual
101;2024-04-26;compra;1500.0;Ingreso extra
115;2024-11-13;compra;2000.0;Compra en tienda
101;2024-06-12;deposito;2000.0;Ingreso extra
113;2024-02-27;deposito;1000.0;Ingreso mensual
108;2024-07-17;compra;3000.0;Ingreso extra
117;2024-03-29;compra;2000.0;Compra en tienda
112;2024-10-06;deposito;2000.0;Ingreso extra
105;2024-05-24;compra;3000.0;Ingreso mensual
118;2024-12-17;deposito;2500.0;Ingreso extra
104;2024-04-15;compra;3000.0;Ingreso navideño
107;2024-05-02;deposito;2500.0;Retiro parcial
114;2024-04-23;deposito;1500.0;Compra en tienda
119;2024-11-18;retiro;3000.0;Ingreso navideño
106;2024-07-20;compra;2000.0;Compra en tienda
120;2024-02-07;deposito;1500.0;Retiro parcial
109;2024-11-14;deposito;1500.0;Compra en tienda
109;2024-03-10;deposito;3000.0;Retiro parcial
106;2024-02-22;compra;1000.0;Ingreso navideño
105;2024-07-10;retiro;3000.0;Ingreso mensual
102;2024-12-09;deposito;1500.0;Ingreso extra
114;2024-12-29;deposito;2000.0;Compra en tienda
109;2024-06-25;deposito;2500.0;Retiro parcial
115;2024-01-23;compra;1000.0;Ingreso extra
108;2024-11-23;retiro;1500.0;Compra en tienda
112;2024-06-01;retiro;3000.0;Compra en tienda
104;2024-01-13;compra;3000.0;Ingreso navideño
112;2024-08-09;deposito;1500.0;Ingreso mensual
120;2024-04-03;compra;2000.0;Retiro parcial
115;2024-03-10;deposito;3000.0;Ingreso extra
117;2024-11-07;compra;3000.0;Ingreso navideño
114;2024-04-16;compra;1500.0;Retiro parcial
104;2024-01-04;deposito;1000.0;Ingreso mensual
113;2024-12-02;deposito;2000.0;Compra en tienda
106;2024-06-28;retiro;1500.0;Ingreso mensual
105;2024-05-29;deposito;3000.0;Ingreso navideño
104;2024-07-03;deposito;2000.0;Compra en tienda
120;2024-02-12;compra;1500.0;Retiro parcial
112;2024-04-06;compra;1500.0;Ingreso navideño
120;2024-07-28;retiro;3000.0;Ingreso mensual
111;2024-09-25;compra;2500.0;Ingreso navideño
116;2024-05-15;retiro;1000.0;Compra en tienda
105;2024-01-29;compra;1000.0;Ingreso navideño
110;2024-04-17;compra;3000.0;Ingreso navideño
120;2024-07-13;deposito;1500.0;Ingreso mensual
117;2024-04-27;deposito;1500.0;Ingreso navideño
111;2024-08-15;deposito;1500.0;Ingreso extra
109;2024-08-29;retiro;2500.0;Retiro parcial
112;2024-07-18;deposito;1000.0;Ingreso extra
102;2024-03-02;compra;1000.0;Ingreso extra
115;2024-03-13;compra;1500.0;Ingreso extra
108;2024-10-01;retiro;1000.0;Retiro parcial
116;2024-05-28;compra;3000.0;Compra en tienda
108;2024-02-03;retiro;2500.0;Ingreso mensual
106;2024-03-25;compra;2000.0;Ingreso extra
119;2024-12-13;retiro;1500.0;Ingreso extra
106;2024-06-25;deposito;1000.0;Retiro parcial
113;2024-08-30;retiro;2000.0;Ingreso extra
115;2024-04-24;deposito;2000.0;Ingreso mensual
113;2024-06-09;deposito;3000.0;Ingreso navideño
107;2024-03-29;retiro;2000.0;Retiro parcial
112;2024-04-29;retiro;2500.0;Ingreso navideño
111;2024-10-06;deposito;1500.0;Retiro parcial
118;2024-10-03;deposito;3000.0;Ingreso mensual
116;2024-04-28;deposito;1000.0;Ingreso navideño
118;2024-04-07;deposito;1000.0;Compra en tienda
111;2024-07-07;deposito;2500.0;Retiro parcial
118;2024-07-14;deposito;3000.0;Ingreso navideño
102;2024-08-09;compra;3000.0;Ingreso navideño
118;2024-01-06;compra;3000.0;Compra en tienda
120;2024-11-18;retiro;2000.0;Ingreso extra
101;2024-08-01;retiro;2000.0;Ingreso extra
104;2024-08-29;retiro;2500.0;Ingreso mensual
103;2024-05-08;compra;1000.0;Ingreso mensual
102;2024-10-11;retiro;1500.0;Ingreso mensual
108;2024-04-17;compra;2000.0;Retiro parcial
106;2024-03-15;compra;2500.0;Ingreso extra
105;2024-01-12;retiro;1500.0;Ingreso extra
102;2024-04-03;retiro;3000.0;Ingreso mensual
106;2024-02-22;compra;1500.0;Ingreso extra
103;2024-10-26;compra;2000.0;Ingreso mensual
109;2024-02-17;deposito;1000.0;Ingreso navideño
114;2024-02-19;retiro;1000.0;Ingreso navideño
106;2024-12-07;retiro;2500.0;Ingreso navideño
108;2024-01-29;retiro;3000.0;Ingreso navideño
116;2024-05-25;deposito;3000.0;Ingreso mensual
110;2024-12-24;retiro;3000.0;Retiro parcial
114;2024-03-26;deposito;2000.0;Ingreso navideño
105;2024-06-07;deposito;2000.0;Ingreso mensual
119;2024-07-25;retiro;2500.0;Ingreso navideño
112;2024-12-01;compra;2000.0;Ingreso extra
109;2024-05-11;retiro;3000.0;Compra en tienda
105;2024-12-09;retiro;1500.0;Ingreso navideño
109;2024-07-20;deposito;1500.0;Ingreso navideño
109;2024-11-11;compra;3000.0;Ingreso mensual
103;2024-04-03;compra;2500.0;Retiro parcial
102;2024-04-23;compra;2000.0;Ingreso navideño
101;2024-06-30;deposito;1500.0;Ingreso extra
106;2024-01-29;compra;1000.0;Retiro parcial
105;2024-01-27;deposito;2000.0;Retiro parcial
105;2024-08-16;deposito;2500.0;Ingreso extra
113;2024-10-29;compra;2000.0;Compra en tienda
105;2024-11-28;deposito;1500.0;Ingreso extra
108;2024-09-03;compra;1000.0;Retiro parcial
118;2024-02-07;compra;3000.0;Ingreso extra
107;2024-12-12;retiro;2000.0;Ingreso mensual
102;2024-04-16;deposito;1500.0;Ingreso mensual
101;2024-09-05;deposito;2500.0;Ingreso extra
117;2024-03-01;deposito;3000.0;Ingreso extra
119;2024-05-13;deposito;2000.0;Ingreso navideño
107;2024-06-18;compra;2000.0;Retiro parcial
101;2024-04-29;deposito;3000.0;Ingreso extra
117;2024-05-21;deposito;1500.0;Ingreso extra
119;2024-02-13;retiro;3000.0;Retiro parcial
102;2024-03-07;retiro;2500.0;Ingreso mensual
106;2024-12-04;retiro;2000.0;Ingreso extra
119;2024-09-11;compra;2000.0;Compra en tienda
111;2024-06-29;deposito;2500.0;Ingreso mensual
115;2024-11-03;compra;1000.0;Ingreso navideño
101;2024-11-11;compra;1000.0;Ingreso navideño
113;2024-02-29;deposito;2000.0;Ingreso navideño
109;2024-05-24;retiro;1000.0;Retiro parcial
117;2024-01-13;retiro;1000.0;Compra en tienda
108;2024-11-07;retiro;2500.0;Ingreso extra
116;2024-06-30;retiro;1000.0;Ingreso extra
110;2024-07-13;deposito;3000.0;Ingreso extra
116;2024-06-27;deposito;5000.0;Ingreso navideño
118;2024-10-07;compra;3000.0;Retiro parcial
104;2024-05-31;retiro;1500.0;Retiro parcial
116;2024-11-18;retiro;3000.0;Ingreso extra
109;2024-06-20;retiro;1000.0;Retiro parcial
119;2024-08-20;deposito;2500.0;Compra en tienda
115;2024-04-08;compra;1000.0;Ingreso navideño
116;2024-03-08;compra;2000.0;Ingreso extra
102;2024-08-13;compra;5000.0;Retiro parcial
118;2024-03-14;deposito;3000.0;Retiro parcial
106;2024-06-15;compra;2500.0;Ingreso navideño
114;2024-10-22;retiro;1500.0;Retiro parcial
