id;fecha;monto;tipo
835;;1500.0;credito
838;;;credito
839;2024-04-23;-200.0;credito
841;2024-08-15;0.0;invalid
844;2024-11-23;-200.0;debito
846;2024-08-30;;credito
849;2024-05-01;-200.0;debito
851;2024-03-23;;credito
852;;1000.0;invalid
855;2024-08-20;-200.0;credito
856;2024-07-22;-200.0;credito
858;2024-11-12;;credito
860;2024-02-08;-200.0;invalid
861;2024-09-13;-200.0;debito
862;2024-07-24;;debito
863;;-200.0;invalid
864;2024-10-31;0.0;credito
865;2024-05-29;-200.0;credito
867;2024-03-12;-200.0;invalid
868;2024-11-20;;invalid
872;2024-04-01;-200.0;debito
873;2024-12-23;;credito
874;2024-12-20;-200.0;invalid
875;2024-09-01;;invalid
877;2024-03-19;;credito
878;2024-01-08;;invalid
879;2024-07-05;;debito
881;2024-11-06;-100.0;invalid
882;2024-07-08;;credito
883;2024-04-03;-200.0;invalid
888;2024-12-25;;debito
894;2024-10-30;;credito
896;;1500.0;debito
901;2024-06-22;-200.0;invalid
906;2024-01-19;;invalid
909;;800.0;credito
915;2024-01-21;-200.0;invalid
917;;800.0;credito
918;2024-01-22;-200.0;invalid
921;2024-09-24;;credito
923;2024-12-20;;desconocido
924;2024-10-30;;debito
925;2024-11-04;;credito
927;;;credito
931;2024-12-08;;debito
933;2024-08-01;-200.0;invalid
934;2024-08-02;;credito
939;2024-04-20;-200.0;debito
941;2024-01-14;;invalid
943;2024-02-19;-200.0;credito
944;2024-07-20;;credito
945;2024-08-13;-100.0;credito
947;2024-06-02;0.0;credito
948;2024-07-24;-200.0;credito
952;2024-11-30;-200.0;credito
956;2024-12-01;;credito
959;2024-06-25;-200.0;invalid
960;2024-03-29;-200.0;invalid
961;2024-10-20;-200.0;invalid
962;2024-08-11;-200.0;debito
963;2024-10-25;-200.0;credito
968;2024-05-05;-100.0;credito
971;2024-03-04;-200.0;credito
973;;;debito
979;2024-11-22;-200.0;credito
981;2024-01-20;-200.0;debito
982;2024-06-08;;invalid
984;2024-05-07;;debito
987;2024-10-13;;debito
991;2024-04-08;0.0;debito
993;;700.0;invalid
995;2024-02-08;-200.0;credito
997;2024-06-14;-200.0;invalid
998;2024-01-14;;invalid
