id;fecha;monto;tipo
1;2024-06-30;3000;credito
2;2024-04-03;1200;credito
3;2024-04-09;800;invalid
4;2024-05-04;;invalid
5;2024-06-17;800;debito
6;2024-11-11;1500;credito
7;2024-13-01;700;debito
8;2024-07-30;3000;debito
9;2024-04-07;3000;invalid
10;2024-10-15;1500;invalid
11;2024-10-05;1200;debito
12;2024-07-20;1200;debito
13;2024-04-13;3000;credito
14;2024-07-17;500;debito
15;2024-06-01;;desconocido
16;2024-04-27;1000;invalid
17;2024-12-18;-200;invalid
18;2024-11-30;-100;credito
19;2024-08-16;800;credito
20;2024-07-28;3000;debito
21;2024-06-12;700;credito
22;2024-06-05;1000;invalid
23;2024-13-01;1000;credito
24;2024-02-18;0;credito
25;2024-11-09;;debito
26;2024-05-19;1200;debito
27;2024-12-11;1200;credito
28;2024-09-03;;desconocido
29;2024-05-27;;debito
30;2024-02-09;-200;invalid
31;2024-04-11;800;invalid
32;2024-01-01;1500;invalid
33;2024-12-30;1500;credito
34;2024-11-13;-200;credito
35;2024-12-12;-100;credito
36;2024-07-25;1500;credito
37;2024-08-20;800;credito
38;2024-02-15;1500;debito
39;2024-11-18;1200;invalid
40;2024-13-01;3000;credito
41;2024-08-01;800;credito
42;2024-07-29;500;credito
43;2024-12-06;-100;invalid
44;2024-07-11;1000;credito
45;2024-08-23;;credito
46;2024-06-29;1200;debito
47;2024-11-30;1200;invalid
48;2024-08-09;1500;credito
49;2024-10-26;3000;debito
50;2024-13-01;1200;debito
51;2024-07-02;-200;credito
52;2024-03-16;1000;invalid
53;2024-07-02;;debito
54;2024-02-21;800;desconocido
55;2024-01-27;3000;credito
56;2024-09-06;1000;debito
57;2024-07-27;-200;invalid
58;2024-02-27;1000;credito
59;2024-02-08;800;credito
60;2024-04-04;-200;invalid
61;2024-01-09;3000;debito
62;2024-06-09;1000;credito
63;2024-08-14;700;credito
64;2024-03-13;1000;credito
65;2024-10-16;;debito
66;2024-05-28;1500;invalid
67;2024-11-10;800;credito
68;2024-01-11;3000;desconocido
69;2024-09-29;1500;invalid
70;2024-09-18;;desconocido
71;2024-07-31;700;debito
72;2024-03-01;-200;invalid
73;2024-07-29;1000;credito
74;2024-07-30;1000;invalid
75;2024-01-28;1500;debito
76;2024-11-16;-200;credito
77;2024-13-01;3000;invalid
78;2024-11-25;-200;credito
79;2024-06-02;;invalid
80;2024-04-16;1200;invalid
81;2024-06-18;;invalid
82;2024-09-13;700;credito
83;2024-05-10;800;credito
84;2024-09-17;3000;debito
85;2024-03-16;1000;debito
86;2024-11-04;1500;invalid
87;2024-10-22;1200;invalid
88;2024-04-24;3000;credito
89;2024-07-27;800;debito
90;2024-07-28;700;invalid
91;2024-01-01;800;credito
92;2024-01-27;1200;debito
93;2024-11-07;3000;debito
94;2024-08-01;-200;credito
95;2024-12-22;1000;credito
96;2024-12-18;800;credito
97;2024-08-17;500;debito
98;2024-07-05;1200;invalid
99;2024-03-09;-200;credito
100;2024-06-15;;debito
101;2024-05-12;800;debito
102;2024-11-13;-200;debito
103;2024-04-02;1500;credito
104;2024-04-16;1000;credito
105;2024-12-13;3000;invalid
106;2024-01-21;1000;credito
107;2024-01-16;700;invalid
108;2024-02-28;-200;invalid
109;2024-09-15;1200;invalid
110;2024-07-05;800;debito
111;2024-09-25;1000;credito
112;2024-03-07;800;credito
113;2024-07-21;1500;credito
114;2024-02-01;700;invalid
115;2024-07-20;700;debito
116;2024-10-03;1500;invalid
117;2024-11-10;700;credito
118;2024-08-27;;invalid
119;2024-12-06;;debito
120;2024-09-21;-200;credito
121;2024-08-19;700;debito
122;2024-08-26;800;invalid
123;2024-05-27;3000;debito
124;2024-08-22;;invalid
125;2024-01-29;-200;credito
126;2024-03-11;800;debito
127;2024-04-09;700;invalid
128;2024-07-26;1500;invalid
129;2024-11-14;700;invalid
130;2024-07-24;1200;debito
131;2024-07-25;1000;debito
132;2024-12-10;0;invalid
133;2024-07-21;500;invalid
134;2024-04-06;800;credito
135;2024-03-02;;debito
136;2024-10-27;0;invalid
137;2024-06-17;1200;desconocido
138;2024-13-01;1000;invalid
139;2024-09-16;700;debito
140;2024-08-22;1200;debito
141;2024-07-14;3000;debito
142;2024-11-19;3000;debito
143;2024-09-29;700;credito
144;2024-12-30;3000;debito
145;2024-01-01;1200;debito
146;2024-07-01;;debito
147;2024-03-29;3000;credito
148;2024-03-30;1000;invalid
149;2024-11-02;3000;desconocido
150;2024-13-01;1500;debito
151;2024-12-18;3000;credito
152;2024-10-25;1500;invalid
153;2024-07-28;1000;credito
154;2024-03-04;800;credito
155;2024-12-22;-200;desconocido
156;2024-03-02;1500;debito
157;2024-08-17;3000;debito
158;2024-05-26;500;debito
159;2024-09-01;1200;debito
160;2024-08-03;1500;invalid
161;2024-07-28;1500;credito
162;2024-12-11;3000;debito
163;2024-11-30;3000;desconocido
164;2024-03-04;3000;invalid
165;2024-08-30;1000;invalid
166;2024-04-06;800;credito
167;2024-02-23;;credito
168;2024-10-24;1200;credito
169;2024-03-05;800;invalid
170;2024-09-07;1200;invalid
171;2024-05-14;;debito
172;2024-02-07;0;debito
173;2024-08-24;-100;debito
174;2024-10-26;;invalid
175;2024-09-24;1500;invalid
176;2024-06-07;1000;invalid
177;2024-10-22;3000;debito
178;2024-05-17;3000;credito
179;2024-07-11;3000;credito
180;2024-05-28;1000;desconocido
181;2024-09-08;800;invalid
182;2024-03-02;800;credito
183;2024-01-21;3000;credito
184;2024-11-01;1500;debito
185;2024-13-01;1000;debito
186;2024-01-04;3000;invalid
187;2024-05-25;800;debito
188;2024-03-15;500;debito
189;2024-01-17;800;invalid
190;2024-07-26;1500;debito
191;2024-07-26;;invalid
192;2024-09-19;700;debito
193;2024-01-16;1500;invalid
194;2024-12-29;-200;credito
195;2024-06-13;800;debito
196;2024-08-08;-200;credito
197;2024-02-18;1200;credito
198;2024-12-04;800;debito
199;2024-06-01;700;invalid
200;2024-10-13;;invalid
201;2024-11-15;-200;credito
202;2024-01-09;;debito
203;2024-13-01;1200;debito
204;2024-04-16;1200;debito
205;2024-08-07;1000;invalid
206;2024-11-20;3000;debito
207;2024-02-08;3000;debito
208;2024-01-29;;invalid
209;2024-13-01;1200;debito
210;2024-02-09;700;debito
211;2024-04-18;800;invalid
212;2024-04-23;1200;debito
213;2024-07-30;3000;debito
214;2024-04-15;;desconocido
215;2024-03-01;1500;debito
216;2024-03-05;-200;desconocido
217;2024-03-16;700;credito
218;2024-02-16;1200;credito
219;2024-09-28;0;credito
220;2024-08-28;500;credito
221;2024-06-19;1200;invalid
222;2024-03-10;-100;debito
223;2024-10-01;3000;credito
224;2024-12-20;500;credito
225;2024-04-01;;desconocido
226;2024-04-29;-200;debito
227;2024-04-25;800;debito
228;2024-07-12;1500;invalid
229;2024-10-22;;invalid
230;2024-01-13;-100;invalid
231;2024-12-25;0;invalid
232;2024-02-04;1500;invalid
233;2024-06-15;1000;debito
234;2024-07-03;-200;credito
235;2024-04-07;800;invalid
236;2024-06-29;1000;debito
237;2024-02-21;1200;debito
238;2024-10-09;1200;credito
239;2024-03-04;800;debito
